"year"	"area"	"box"	"nest"	"date"	"nestbox"	"species"	"chick"	"nestchick"	"order"	"playback"	"file"	"recording"	"Songs.with.call"	"Songs.without.call"	"Call.bin"	"Call.prop"	"source"	"treatment"	"beg.rest"	"beg.play"	"clutch.size"	"mass"
"55"	2013	"HOR"	"5"	"2013HOR5"	"6.27"	"HOR5"	"collared"	2	"2013HOR52"	2	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	2	15.15
"56"	2013	"HOR"	"5"	"2013HOR5"	"6.27"	"HOR5"	"collared"	1	"2013HOR51"	2	"collared"	"4"	"collared4"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	2	15.15
"59"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	1	"2013HORB461"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"61"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	2	"2013HORB462"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"62"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	3	"2013HORB463"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"63"	2013	"HOR"	"B46"	"2013HORB46"	"6.29"	"HORB46"	"collared"	4	"2013HORB464"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	10.13
"67"	2013	"LOT"	"25"	"2013LOT25"	"6.27"	"LOT25"	"collared"	1	"2013LOT251"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.6
"70"	2013	"LOT"	"25"	"2013LOT25"	"6.27"	"LOT25"	"collared"	2	"2013LOT252"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.6
"71"	2013	"LOT"	"25"	"2013LOT25"	"6.27"	"LOT25"	"collared"	3	"2013LOT253"	2	"collared"	"2"	"collared2"	9	0	"yes"	1	"sym"	"conspecific"	0	0	3	14.6
"73"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	2	"2014KOL12A2"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	0	3	7	14
"74"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	1	"2014KOL12A1"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	0	0	7	14
"75"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	6	"2014KOL12A6"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	0	2	7	14
"76"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	3	"2014KOL12A3"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	6	0	7	14
"77"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	4	"2014KOL12A4"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	2	0	7	14
"78"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	5	"2014KOL12A5"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	0	0	7	14
"80"	2014	"KOL"	"12A"	"2014KOL12A"	"6.13"	"KOL12A"	"collared"	7	"2014KOL12A7"	2	"collared"	"42.014"	"collared4.2014"	5	4	"yes"	0.555555556	"allo"	"conspecific"	0	0	7	14
"87"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	2	"2014KOL15A2"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	1	0	7	14.08333333
"88"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	1	"2014KOL15A1"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	0	0	7	14.08333333
"89"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	6	"2014KOL15A6"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	0	0	7	14.08333333
"90"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	3	"2014KOL15A3"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	3	0	7	14.08333333
"91"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	4	"2014KOL15A4"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	0	0	7	14.08333333
