"year"	"area"	"box"	"nest"	"date"	"nestbox"	"species"	"chick"	"nestchick"	"order"	"playback"	"file"	"recording"	"Songs.with.call"	"Songs.without.call"	"Call.bin"	"Call.prop"	"source"	"treatment"	"beg.rest"	"beg.play"	"clutch.size"	"mass"
"235"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	4	"2014KOL504"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
"236"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	5	"2014KOL505"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
"241"	2014	"KOL"	"50"	"2014KOL50"	"6.15"	"KOL50"	"collared"	1	"2014KOL501"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.68571429
"245"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	4	"2014KOL51A4"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	7	14.98571429
"246"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	1	"2014KOL51A1"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	7	14.98571429
"247"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	2	"2014KOL51A2"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	7	14.98571429
"248"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	3	"2014KOL51A3"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	7	14.98571429
"256"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	6	"2014KOL51A6"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	7	14.98571429
"257"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	7	"2014KOL51A7"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	1	0	7	14.98571429
"258"	2014	"KOL"	"51A"	"2014KOL51A"	"6.11"	"KOL51A"	"collared"	5	"2014KOL51A5"	2	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	7	14.98571429
"259"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	3	"2014KOL52A3"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	7	13.95714286
"260"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	1	"2014KOL52A1"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	5	7	13.95714286
"261"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	2	"2014KOL52A2"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	45	3	7	13.95714286
"262"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	7	"2014KOL52A7"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	7	1	7	13.95714286
"270"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	5	"2014KOL52A5"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	7	13.95714286
"271"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	6	"2014KOL52A6"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	3	7	13.95714286
"272"	2014	"KOL"	"52A"	"2014KOL52A"	"6.18"	"KOL52A"	"collared"	4	"2014KOL52A4"	2	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	30	7	13.95714286
"273"	2014	"KOL"	"60A"	"2014KOL60A"	"6.17"	"KOL60A"	"collared"	3	"2014KOL60A3"	1	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	1	6	14.7
"274"	2014	"KOL"	"60A"	"2014KOL60A"	"6.17"	"KOL60A"	"collared"	1	"2014KOL60A1"	1	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	3	6	14.7
"275"	2014	"KOL"	"60A"	"2014KOL60A"	"6.17"	"KOL60A"	"collared"	2	"2014KOL60A2"	1	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.7
"282"	2014	"KOL"	"60A"	"2014KOL60A"	"6.17"	"KOL60A"	"collared"	4	"2014KOL60A4"	1	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.7
"283"	2014	"KOL"	"60A"	"2014KOL60A"	"6.17"	"KOL60A"	"collared"	5	"2014KOL60A5"	1	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.7
"284"	2014	"KOL"	"60A"	"2014KOL60A"	"6.17"	"KOL60A"	"collared"	6	"2014KOL60A6"	1	"collared"	"12"	"collared12"	7	1	"yes"	0.875	"allo"	"conspecific"	0	0	6	14.7
"285"	2014	"KOL"	"62A"	"2014KOL62A"	"6.14"	"KOL62A"	"collared"	4	"2014KOL62A4"	1	"collared"	"11"	"collared11"	8	0	"yes"	1	"allo"	"conspecific"	36	30	6	14.21666667
"286"	2014	"KOL"	"62A"	"2014KOL62A"	"6.14"	"KOL62A"	"collared"	1	"2014KOL62A1"	1	"collared"	"11"	"collared11"	8	0	"yes"	1	"allo"	"conspecific"	23	30	6	14.21666667
"287"	2014	"KOL"	"62A"	"2014KOL62A"	"6.14"	"KOL62A"	"collared"	2	"2014KOL62A2"	1	"collared"	"11"	"collared11"	8	0	"yes"	1	"allo"	"conspecific"	0	30	6	14.21666667
"288"	2014	"KOL"	"62A"	"2014KOL62A"	"6.14"	"KOL62A"	"collared"	3	"2014KOL62A3"	1	"collared"	"11"	"collared11"	8	0	"yes"	1	"allo"	"conspecific"	35	30	6	14.21666667
"294"	2014	"KOL"	"62A"	"2014KOL62A"	"6.14"	"KOL62A"	"collared"	5	"2014KOL62A5"	1	"collared"	"11"	"collared11"	8	0	"yes"	1	"allo"	"conspecific"	0	30	6	14.21666667
"295"	2014	"KOL"	"62A"	"2014KOL62A"	"6.14"	"KOL62A"	"collared"	6	"2014KOL62A6"	1	"collared"	"11"	"collared11"	8	0	"yes"	1	"allo"	"conspecific"	0	30	6	14.21666667
"297"	2014	"KOL"	"6A"	"2014KOL6A"	"6.13"	"KOL6A"	"collared"	1	"2014KOL6A1"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	1	5	15.28
"298"	2014	"KOL"	"6A"	"2014KOL6A"	"6.13"	"KOL6A"	"collared"	5	"2014KOL6A5"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	0	5	15.28
"299"	2014	"KOL"	"6A"	"2014KOL6A"	"6.13"	"KOL6A"	"collared"	2	"2014KOL6A2"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	30	5	15.28
"300"	2014	"KOL"	"6A"	"2014KOL6A"	"6.13"	"KOL6A"	"collared"	3	"2014KOL6A3"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	1	5	15.28
"301"	2014	"KOL"	"6A"	"2014KOL6A"	"6.13"	"KOL6A"	"collared"	4	"2014KOL6A4"	1	"collared"	"72.014"	"collared7.2014"	6	3	"yes"	0.666666667	"allo"	"conspecific"	0	0	5	15.28
"307"	2014	"KOL"	"9"	"2014KOL9"	"6.11"	"KOL9"	"collared"	1	"2014KOL91"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	4	15.55
"309"	2014	"KOL"	"9"	"2014KOL9"	"6.11"	"KOL9"	"collared"	2	"2014KOL92"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	4	15.55
"310"	2014	"KOL"	"9"	"2014KOL9"	"6.11"	"KOL9"	"collared"	3	"2014KOL93"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	4	15.55
"311"	2014	"KOL"	"9"	"2014KOL9"	"6.11"	"KOL9"	"collared"	4	"2014KOL94"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	4	15.55
"316"	2014	"SKO"	"12"	"2014SKO12"	"6.17"	"SKO12"	"collared"	1	"2014SKO121"	2	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	20	15	3	14.03333333
"317"	2014	"SKO"	"12"	"2014SKO12"	"6.17"	"SKO12"	"collared"	2	"2014SKO122"	2	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	15	10	3	14.03333333
"318"	2014	"SKO"	"12"	"2014SKO12"	"6.17"	"SKO12"	"collared"	3	"2014SKO123"	2	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	20	15	3	14.03333333
"321"	2014	"SKO"	"20"	"2014SKO20"	"6.17"	"SKO20"	"collared"	2	"2014SKO202"	1	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	6	15.32
"322"	2014	"SKO"	"20"	"2014SKO20"	"6.17"	"SKO20"	"collared"	1	"2014SKO201"	1	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	6	15.32
"323"	2014	"SKO"	"20"	"2014SKO20"	"6.17"	"SKO20"	"collared"	6	"2014SKO206"	1	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	1	0	6	15.32
"330"	2014	"SKO"	"20"	"2014SKO20"	"6.17"	"SKO20"	"collared"	4	"2014SKO204"	1	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	6	15.32
"331"	2014	"SKO"	"20"	"2014SKO20"	"6.17"	"SKO20"	"collared"	5	"2014SKO205"	1	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	6	15.32
"332"	2014	"SKO"	"20"	"2014SKO20"	"6.17"	"SKO20"	"collared"	3	"2014SKO203"	1	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	6	15.32
"333"	2014	"SKO"	"26"	"2014SKO26"	"6.15"	"SKO26"	"collared"	3	"2014SKO263"	1	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	6	14.35
"334"	2014	"SKO"	"26"	"2014SKO26"	"6.15"	"SKO26"	"collared"	1	"2014SKO261"	1	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	15	0	6	14.35
"335"	2014	"SKO"	"26"	"2014SKO26"	"6.15"	"SKO26"	"collared"	2	"2014SKO262"	1	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	10	1	6	14.35
"342"	2014	"SKO"	"26"	"2014SKO26"	"6.15"	"SKO26"	"collared"	6	"2014SKO266"	1	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	6	14.35
"343"	2014	"SKO"	"26"	"2014SKO26"	"6.15"	"SKO26"	"collared"	4	"2014SKO264"	1	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	6	14.35
"344"	2014	"SKO"	"26"	"2014SKO26"	"6.15"	"SKO26"	"collared"	5	"2014SKO265"	1	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	6	14.35
"345"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	2	"2014SKO282"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	7	14.8
"346"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	1	"2014SKO281"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	7	14.8
"347"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	6	"2014SKO286"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	7	14.8
"348"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	3	"2014SKO283"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	7	14.8
"349"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	4	"2014SKO284"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	6	0	7	14.8
"350"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	5	"2014SKO285"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	1	7	14.8
"356"	2014	"SKO"	"28"	"2014SKO28"	"6.13"	"SKO28"	"collared"	7	"2014SKO287"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	7	14.8
"359"	2014	"SKO"	"31"	"2014SKO31"	"6.17"	"SKO31"	"collared"	1	"2014SKO311"	2	"collared"	"15"	"collared15"	7	0	"yes"	1	"sym"	"conspecific"	0	1	4	15.11428571
"361"	2014	"SKO"	"31"	"2014SKO31"	"6.17"	"SKO31"	"collared"	2	"2014SKO312"	2	"collared"	"15"	"collared15"	7	0	"yes"	1	"sym"	"conspecific"	0	0	4	15.11428571
"362"	2014	"SKO"	"31"	"2014SKO31"	"6.17"	"SKO31"	"collared"	3	"2014SKO313"	2	"collared"	"15"	"collared15"	7	0	"yes"	1	"sym"	"conspecific"	0	0	4	15.11428571
"363"	2014	"SKO"	"31"	"2014SKO31"	"6.17"	"SKO31"	"collared"	4	"2014SKO314"	2	"collared"	"15"	"collared15"	7	0	"yes"	1	"sym"	"conspecific"	0	3	4	15.11428571
"367"	2014	"SKO"	"40"	"2014SKO40"	"6.12"	"SKO40"	"collared"	2	"2014SKO402"	1	"collared"	"22.014"	"collared2.2014"	3	6	"yes"	0.333333333	"allo"	"conspecific"	2	5	4	12.875
"368"	2014	"SKO"	"40"	"2014SKO40"	"6.12"	"SKO40"	"collared"	1	"2014SKO401"	1	"collared"	"22.014"	"collared2.2014"	3	6	"yes"	0.333333333	"allo"	"conspecific"	0	5	4	12.875
"370"	2014	"SKO"	"40"	"2014SKO40"	"6.12"	"SKO40"	"collared"	3	"2014SKO403"	1	"collared"	"22.014"	"collared2.2014"	3	6	"yes"	0.333333333	"allo"	"conspecific"	0	5	4	12.875
"371"	2014	"SKO"	"40"	"2014SKO40"	"6.12"	"SKO40"	"collared"	4	"2014SKO404"	1	"collared"	"22.014"	"collared2.2014"	3	6	"yes"	0.333333333	"allo"	"conspecific"	0	5	4	12.875
"375"	2014	"SKO"	"42B"	"2014SKO42B"	"6.17"	"SKO42B"	"collared"	2	"2014SKO42B2"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	5	1	5	12.44
"376"	2014	"SKO"	"42B"	"2014SKO42B"	"6.17"	"SKO42B"	"collared"	1	"2014SKO42B1"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	30	0	5	12.44
"378"	2014	"SKO"	"42B"	"2014SKO42B"	"6.17"	"SKO42B"	"collared"	3	"2014SKO42B3"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	15	5	5	12.44
"379"	2014	"SKO"	"42B"	"2014SKO42B"	"6.17"	"SKO42B"	"collared"	4	"2014SKO42B4"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	0	25	5	12.44
"380"	2014	"SKO"	"42B"	"2014SKO42B"	"6.17"	"SKO42B"	"collared"	5	"2014SKO42B5"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	5	0	5	12.44
"385"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	2	"2014SKO522"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	7	14.47142857
"386"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	1	"2014SKO521"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	1	7	14.47142857
"387"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	6	"2014SKO526"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	30	19	7	14.47142857
"388"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	7	"2014SKO527"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	1	0	7	14.47142857
"396"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	5	"2014SKO525"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	7	14.47142857
"397"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	3	"2014SKO523"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	0	0	7	14.47142857
"398"	2014	"SKO"	"52"	"2014SKO52"	"6.12"	"SKO52"	"collared"	4	"2014SKO524"	2	"collared"	"20"	"collared20"	0	8	"no"	0	"sym"	"conspecific"	5	0	7	14.47142857
"399"	2014	"SKO"	"54"	"2014SKO54"	"6.17"	"SKO54"	"collared"	2	"2014SKO542"	2	"collared"	"19"	"collared19"	9	0	"yes"	1	"sym"	"conspecific"	0	0	6	14.14
"400"	2014	"SKO"	"54"	"2014SKO54"	"6.17"	"SKO54"	"collared"	1	"2014SKO541"	2	"collared"	"19"	"collared19"	9	0	"yes"	1	"sym"	"conspecific"	0	3	6	14.14
"401"	2014	"SKO"	"54"	"2014SKO54"	"6.17"	"SKO54"	"collared"	6	"2014SKO546"	2	"collared"	"19"	"collared19"	9	0	"yes"	1	"sym"	"conspecific"	32	0	6	14.14
"408"	2014	"SKO"	"54"	"2014SKO54"	"6.17"	"SKO54"	"collared"	4	"2014SKO544"	2	"collared"	"19"	"collared19"	9	0	"yes"	1	"sym"	"conspecific"	8	50	6	14.14
"409"	2014	"SKO"	"54"	"2014SKO54"	"6.17"	"SKO54"	"collared"	5	"2014SKO545"	2	"collared"	"19"	"collared19"	9	0	"yes"	1	"sym"	"conspecific"	0	0	6	14.14
"410"	2014	"SKO"	"54"	"2014SKO54"	"6.17"	"SKO54"	"collared"	3	"2014SKO543"	2	"collared"	"19"	"collared19"	9	0	"yes"	1	"sym"	"conspecific"	15	0	6	14.14
"411"	2014	"SKO"	"59"	"2014SKO59"	"6.17"	"SKO59"	"collared"	3	"2014SKO593"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	30	15	6	13.21666667
"412"	2014	"SKO"	"59"	"2014SKO59"	"6.17"	"SKO59"	"collared"	1	"2014SKO591"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	30	15	6	13.21666667
"413"	2014	"SKO"	"59"	"2014SKO59"	"6.17"	"SKO59"	"collared"	2	"2014SKO592"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	30	0	6	13.21666667
"420"	2014	"SKO"	"59"	"2014SKO59"	"6.17"	"SKO59"	"collared"	4	"2014SKO594"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	30	10	6	13.21666667
"421"	2014	"SKO"	"59"	"2014SKO59"	"6.17"	"SKO59"	"collared"	5	"2014SKO595"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	30	0	6	13.21666667
"422"	2014	"SKO"	"59"	"2014SKO59"	"6.17"	"SKO59"	"collared"	6	"2014SKO596"	2	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	6	13.21666667
"423"	2014	"SKO"	"61"	"2014SKO61"	"6.17"	"SKO61"	"collared"	4	"2014SKO614"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	20	30	4	15.52857143
"424"	2014	"SKO"	"61"	"2014SKO61"	"6.17"	"SKO61"	"collared"	1	"2014SKO611"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	30	4	15.52857143
"425"	2014	"SKO"	"61"	"2014SKO61"	"6.17"	"SKO61"	"collared"	2	"2014SKO612"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	2	4	15.52857143
"426"	2014	"SKO"	"61"	"2014SKO61"	"6.17"	"SKO61"	"collared"	3	"2014SKO613"	1	"collared"	"18"	"collared18"	9	0	"yes"	1	"sym"	"conspecific"	0	5	4	15.52857143
"431"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	1	"2014SKO81"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	30	0	7	14.65714286
"432"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	5	"2014SKO85"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.65714286
"433"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	2	"2014SKO82"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	1	0	7	14.65714286
"434"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	3	"2014SKO83"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	25	0	7	14.65714286
"435"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	4	"2014SKO84"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	0	1	7	14.65714286
"437"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	6	"2014SKO86"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	1	0	7	14.65714286
"438"	2014	"SKO"	"8"	"2014SKO8"	"6.18"	"SKO8"	"collared"	7	"2014SKO87"	1	"collared"	"12.014"	"collared1.2014"	6	0	"yes"	1	"sym"	"conspecific"	0	0	7	14.65714286
"445"	2014	"YVO"	"10"	"2014YVO10"	"6.12"	"YVO10"	"collared"	3	"2014YVO103"	1	"collared"	"32.014"	"collared3.2014"	0	10	"no"	0	"allo"	"conspecific"	0	0	6	14.83333333
"446"	2014	"YVO"	"10"	"2014YVO10"	"6.12"	"YVO10"	"collared"	4	"2014YVO104"	1	"collared"	"32.014"	"collared3.2014"	0	10	"no"	0	"allo"	"conspecific"	0	0	6	14.83333333
"447"	2014	"YVO"	"10"	"2014YVO10"	"6.12"	"YVO10"	"collared"	6	"2014YVO106"	1	"collared"	"32.014"	"collared3.2014"	0	10	"no"	0	"allo"	"conspecific"	0	0	6	14.83333333
"450"	2014	"YVO"	"10"	"2014YVO10"	"6.12"	"YVO10"	"collared"	5	"2014YVO105"	1	"collared"	"32.014"	"collared3.2014"	0	10	"no"	0	"allo"	"conspecific"	0	0	6	14.83333333
"455"	2014	"YVO"	"10"	"2014YVO10"	"6.12"	"YVO10"	"collared"	1	"2014YVO101"	1	"collared"	"32.014"	"collared3.2014"	0	10	"no"	0	"allo"	"conspecific"	0	0	6	14.83333333
"456"	2014	"YVO"	"10"	"2014YVO10"	"6.12"	"YVO10"	"collared"	2	"2014YVO102"	1	"collared"	"32.014"	"collared3.2014"	0	10	"no"	0	"allo"	"conspecific"	0	0	6	14.83333333
"457"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	4	"2014YVO94"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
"458"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	5	"2014YVO95"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
"459"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	6	"2014YVO96"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
"460"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	7	"2014YVO97"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
"467"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	1	"2014YVO91"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
"468"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	2	"2014YVO92"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
"469"	2014	"YVO"	"9"	"2014YVO9"	"6.11"	"YVO9"	"collared"	3	"2014YVO93"	1	"collared"	"17"	"collared17"	0	9	"no"	0	"sym"	"conspecific"	0	0	7	15.32857143
