"Date"	"Area"	"Box"	"Chick_ID"	"Ring"	"Tarsus"	"Mass"	"Order"	"Treatment"	"Playback_ID"	"Group_size"	"Beg_rest"	"Jump_rest"	"Gape_rest"	"Look_rest"	"Shift_rest"	"Beg_play"	"Jump_play"	"Gape_play"	"Look_play"	"Shift_play"
"38"	2019-06-14	"VIC"	"VIC_38"	"no dot"	"DC17801"	19.2	14.3	2	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"39"	2019-06-14	"VIC"	"VIC_38"	"1 dot"	"DC17705"	19.6	14.6	2	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"40"	2019-06-14	"VIC"	"VIC_38"	"2 dot"	"DC17706"	19.1	15.1	2	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"41"	2019-06-14	"VIC"	"VIC_38"	"3 dot"	"DC17804"	19.6	16	2	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"42"	2019-06-14	"VIC"	"VIC_38"	"1 line"	"DC17600"	19.5	15	2	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"43"	2019-06-14	"VIC"	"VIC_10"	"no dot"	"DC17854b"	20.1	14.5	1	"Collared"	"c1"	6	0	0	0	0	0	0	0	0	0	0
"44"	2019-06-14	"VIC"	"VIC_10"	"1 dot"	"DC17855b"	20.3	14.5	1	"Collared"	"c1"	6	0	0	0	0	0	0	0	0	0	0
"45"	2019-06-14	"VIC"	"VIC_10"	"2 dot"	"DC17852b"	19.7	15.7	1	"Collared"	"c1"	6	0	0	0	0	0	0	0	0	0	0
"46"	2019-06-14	"VIC"	"VIC_10"	"3 dot"	"DC17851b"	19.6	15.5	1	"Collared"	"c1"	6	0	0	0	0	0	0	0	0	0	0
"47"	2019-06-14	"VIC"	"VIC_10"	"4 dot"	"DC17850b"	19.6	15.6	1	"Collared"	"c1"	6	0	0	0	0	0	0	0	0	0	0
"48"	2019-06-14	"VIC"	"VIC_10"	"1 line"	"DC17853b"	20	15.1	1	"Collared"	"c1"	6	0	0	0	0	0	0	0	0	0	0
"49"	2019-06-14	"VIC"	"VIC_10"	"no dot"	"DC17854b"	20.1	14.5	2	"Pied"	"p5"	6	0	0	0	0	0	0	0	0	0	0
"50"	2019-06-14	"VIC"	"VIC_10"	"1 dot"	"DC17855b"	20.3	14.5	2	"Pied"	"p5"	6	0	0	0	0	0	0	0	0	0	0
"51"	2019-06-14	"VIC"	"VIC_10"	"2 dot"	"DC17852b"	19.7	15.7	2	"Pied"	"p5"	6	0	0	0	0	0	0	0	0	0	0
"52"	2019-06-14	"VIC"	"VIC_10"	"3 dot"	"DC17851b"	19.6	15.5	2	"Pied"	"p5"	6	0	0	0	0	0	0	0	0	0	0
"53"	2019-06-14	"VIC"	"VIC_10"	"4 dot"	"DC17850b"	19.6	15.6	2	"Pied"	"p5"	6	0	0	0	0	0	0	0	0	0	0
"54"	2019-06-14	"VIC"	"VIC_10"	"1 line"	"DC17853b"	20	15.1	2	"Pied"	"p5"	6	0	0	0	0	0	0	0	0	0	0
"55"	2019-06-14	"VIC"	"VIC_56"	"no dot"	"DC17703"	19.5	15.5	1	"Pied"	"p1"	5	0	0	0	0	0	0	0	0	0	0
"56"	2019-06-14	"VIC"	"VIC_56"	"1 dot"	"DC17701"	19.1	15.8	1	"Pied"	"p1"	5	0	0	0	0	0	0	0	0	0	0
"57"	2019-06-14	"VIC"	"VIC_56"	"2 dot"	"DC17702"	19.8	15.9	1	"Pied"	"p1"	5	1	0	0	1	0	1	0	0	0	0
"58"	2019-06-14	"VIC"	"VIC_56"	"3 dot"	"DC17700"	19.1	14.2	1	"Pied"	"p1"	5	0	0	0	1	0	0	0	0	2	0
"59"	2019-06-14	"VIC"	"VIC_56"	"1 line"	"DC17704"	19.6	14.6	1	"Pied"	"p1"	5	11	1	0	0	2	5	0	0	0	0
"60"	2019-06-14	"VIC"	"VIC_56"	"no dot"	"DC17703"	19.5	15.5	2	"Collared"	"c3"	5	0	0	0	0	0	0	0	0	0	0
"61"	2019-06-14	"VIC"	"VIC_56"	"1 dot"	"DC17701"	19.1	15.8	2	"Collared"	"c3"	5	0	0	0	0	0	0	0	0	0	0
"62"	2019-06-14	"VIC"	"VIC_56"	"2 dot"	"DC17702"	19.8	15.9	2	"Collared"	"c3"	5	1	0	0	0	0	0	0	0	0	0
"63"	2019-06-14	"VIC"	"VIC_56"	"3 dot"	"DC17700"	19.1	14.2	2	"Collared"	"c3"	5	0	0	0	1	0	0	0	0	1	0
"64"	2019-06-14	"VIC"	"VIC_56"	"1 line"	"DC17704"	19.6	14.6	2	"Collared"	"c3"	5	39	1	0	0	0	3	0	0	0	0
"65"	2019-06-14	"RAL"	"RAL_B8"	"1"	"DC17860"	20.3	15.8	1	"Pied"	"p10"	6	0	0	0	0	0	0	0	0	0	0
"66"	2019-06-14	"RAL"	"RAL_B8"	"2"	"DC17861"	19.2	14.8	1	"Pied"	"p10"	6	0	0	0	0	0	0	0	0	0	0
"67"	2019-06-14	"RAL"	"RAL_B8"	"3"	"DC17856"	19.2	14.4	1	"Pied"	"p10"	6	0	0	0	0	0	2	0	0	0	0
"68"	2019-06-14	"RAL"	"RAL_B8"	"4"	"DC17858"	19.9	14.9	1	"Pied"	"p10"	6	0	0	0	0	0	0	0	0	0	0
"69"	2019-06-14	"RAL"	"RAL_B8"	"5"	"DC17857"	20	15.8	1	"Pied"	"p10"	6	0	0	0	0	0	0	0	0	0	0
"70"	2019-06-14	"RAL"	"RAL_B8"	"6"	"DC17859"	18.7	14.4	1	"Pied"	"p10"	6	0	0	0	0	0	3	0	0	0	1
"71"	2019-06-14	"RAL"	"RAL_B8"	"1"	"DC17860"	20.3	15.8	2	"Collared"	"c5"	6	0	0	0	0	0	1	0	0	0	0
"72"	2019-06-14	"RAL"	"RAL_B8"	"2"	"DC17861"	19.2	14.8	2	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"73"	2019-06-14	"RAL"	"RAL_B8"	"3"	"DC17856"	19.2	14.4	2	"Collared"	"c5"	6	1	0	0	0	0	0	0	0	0	0
"74"	2019-06-14	"RAL"	"RAL_B8"	"4"	"DC17858"	19.9	14.9	2	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"75"	2019-06-14	"RAL"	"RAL_B8"	"5"	"DC17857"	20	15.8	2	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"76"	2019-06-14	"RAL"	"RAL_B8"	"6"	"DC17859"	18.7	14.4	2	"Collared"	"c5"	6	22	0	0	0	0	21	0	0	0	0
"77"	2019-06-15	"RYD"	"RYD_F1"	"no dot"	"DC17711"	20.2	15.1	1	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"78"	2019-06-15	"RYD"	"RYD_F1"	"1 dot"	"DC17708"	19.7	15.6	1	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"79"	2019-06-15	"RYD"	"RYD_F1"	"2 dot"	"DC17813"	19.4	14.6	1	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"80"	2019-06-15	"RYD"	"RYD_F1"	"3 dot"	"DC17709"	19.3	14.4	1	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"81"	2019-06-15	"RYD"	"RYD_F1"	"4 dot"	"DC17710"	19.2	15.3	1	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"82"	2019-06-15	"RYD"	"RYD_F1"	"1 line"	"DC17707"	19.3	14.7	1	"Collared"	"c5"	6	0	0	0	0	0	0	0	0	0	0
"83"	2019-06-15	"RYD"	"RYD_F1"	"no dot"	"DC17711"	20.2	15.1	2	"Pied"	"p3"	6	0	0	0	0	0	0	0	0	0	0
"84"	2019-06-15	"RYD"	"RYD_F1"	"1 dot"	"DC17708"	19.7	15.6	2	"Pied"	"p3"	6	0	0	0	0	0	0	0	0	0	0
"85"	2019-06-15	"RYD"	"RYD_F1"	"2 dot"	"DC17813"	19.4	14.6	2	"Pied"	"p3"	6	0	0	0	0	0	0	0	0	0	0
"86"	2019-06-15	"RYD"	"RYD_F1"	"3 dot"	"DC17709"	19.3	14.4	2	"Pied"	"p3"	6	0	0	0	0	0	0	0	0	0	0
"87"	2019-06-15	"RYD"	"RYD_F1"	"4 dot"	"DC17710"	19.2	15.3	2	"Pied"	"p3"	6	0	0	0	0	0	0	0	0	0	0
